iter	Passed	Remaining
720	55317	21405
721	55369	21319
722	55413	21230
723	55464	21143
724	55509	21055
725	55559	20968
726	55600	20879
727	55643	20789
728	55696	20704
729	55741	20616
730	55785	20528
731	55837	20443
732	55892	20359
733	55940	20272
734	55988	20186
735	56035	20099
736	56079	20012
737	56120	19923
738	56165	19836
739	56211	19749
740	56258	19663
741	56302	19576
742	56357	19493
743	56409	19409
744	56454	19323
745	56502	19238
746	56546	19151
747	56592	19065
748	56637	18980
749	56681	18893
750	56726	18808
751	56776	18724
752	56827	18640
753	56879	18557
754	56926	18472
755	56985	18392
756	57034	18308
757	57083	18224
758	57126	18139
759	57166	18052
760	57206	17966
761	57248	17880
762	57295	17797
763	57341	17712
764	57385	17628
765	57437	17546
766	57492	17465
767	57536	17380
768	57582	17297
769	57627	17213
770	57674	17130
771	57723	17047
772	57769	16964
773	57819	16882
774	57871	16801
775	57925	16720
776	57987	16642
777	58031	16559
778	58076	16476
779	58116	16391
780	58168	16310
781	58214	16228
782	58259	16145
783	58306	16064
784	58356	15982
785	58407	15902
786	58452	15819
787	58495	15737
788	58549	15657
789	58590	15574
790	58632	15492
791	58673	15409
792	58716	15327
793	58761	15245
794	58816	15166
795	58869	15087
796	58932	15010
797	58984	14930
798	59036	14851
799	59075	14768
800	59128	14689
801	59172	14608
802	59218	14528
803	59268	14448
804	59319	14369
805	59365	14288
806	59413	14209
807	59467	14130
808	59510	14050
809	59556	13969
810	59598	13889
811	59640	13808
812	59680	13727
813	59727	13647
814	59779	13569
815	59834	13492
816	59885	13413
817	59938	13336
818	59982	13256
819	60031	13177
820	60080	13099
821	60122	13019
822	60173	12941
823	60216	12861
824	60260	12782
825	60308	12704
826	60354	12625
827	60410	12549
828	60458	12470
829	60507	12393
830	60554	12315
831	60596	12235
832	60644	12158
833	60687	12079
834	60734	12001
835	60788	11924
836	60838	11847
837	60891	11771
838	60949	11695
839	60994	11617
840	61042	11540
841	61083	11462
842	61126	11384
843	61171	11306
844	61218	11229
845	61265	11152
846	61324	11077
847	61373	11000
848	61420	10923
849	61467	10847
850	61510	10769
851	61550	10691
852	61589	10613
853	61629	10536
854	61698	10463
855	61819	10399
856	62095	10361
857	62316	10313
858	62486	10256
859	62687	10204
860	62777	10134
861	62887	10067
862	63019	10004
863	63124	9936
864	63232	9868
865	63358	9803
866	63457	9734
867	63572	9667
868	63689	9601
869	63903	9548
870	64060	9487
871	64177	9420
872	64297	9353
873	64411	9285
874	64532	9218
875	64695	9157
876	64820	9091
877	64929	9022
878	65035	8952
879	65150	8884
880	65251	8813
881	65377	8746
882	65523	8682
883	65617	8610
884	65762	8545
885	65875	8476
886	65987	8406
887	66079	8334
888	66160	8260
889	66275	8191
890	66387	8121
